frame	address	value	pc	a	x	y	stream_pointer	source_byte
328	A788	F0	915A	A7	6E	00	0000	F0
330	A789	BB	915A	A7	6E	01	0000	BB
332	A78A	8F	915A	A7	6E	02	0000	8F
334	A78B	B6	915A	A7	6E	03	0000	B6
336	A78C	98	915A	A7	6E	04	0000	98
338	A78D	97	915A	A7	6E	05	0000	97
340	A78E	92	915A	A7	6E	06	0000	92
342	A78F	C0	915A	A7	6E	07	0000	C0
344	A790	90	915A	A7	6E	08	0000	90
346	A791	F8	915A	A7	6E	09	0000	F8
346	A792	89	915A	A7	6E	0A	0000	89
348	A793	96	915A	A7	6E	0B	0000	96
350	A794	9A	915A	A7	6E	0C	0000	9A
352	A795	83	915A	A7	6E	0D	0000	83
354	A796	CA	915A	A7	6E	0E	0000	CA
356	A797	FF	915A	A7	6E	0F	0000	FF
358	A797	FF	915A	A7	6E	0F	0000	FF
360	A797	FF	915A	A7	6E	0F	0000	FF
362	A797	FF	915A	A7	6E	0F	0000	FF
364	A797	FF	915A	A7	6E	0F	0080	FF
366	A797	FF	915A	A7	6E	0F	0080	FF
368	A797	FF	915A	A7	6E	0F	0080	FF
370	A797	FF	915A	A7	6E	0F	0080	FF
372	A797	FF	915A	A7	6E	0F	0080	FF
374	A797	FF	915A	A7	6E	0F	0000	FF
376	A797	FF	915A	A7	6E	0F	0000	FF
378	A797	FF	915A	A7	6E	0F	0000	FF
380	A797	FF	915A	A7	6E	0F	0000	FF
382	A797	FF	915A	A7	6E	0F	0000	FF
384	A797	FF	915A	A7	6E	0F	0000	FF
386	A797	FF	915A	A7	6E	0F	0000	FF
388	A797	FF	915A	A7	6E	0F	0000	FF
390	A797	FF	915A	A7	6E	0F	0000	FF
392	A797	FF	915A	A7	6E	0F	0000	FF
